String Length (l),Initial Detectors (N),Matching Threshold (r),Structural Weight (alpha),Mean Pathogen Fitness,Fitness StdDev,Mean Protein Score,Protein StdDev,Mean Detector Survival Rate
5,500,2,0.0,0.3894003915357025,0.0,0.5668666666666667,0.0023795424396765956,1.0
5,500,2,0.2,0.39576871389501056,0.0030047736643331593,0.6522666666666667,0.0028767265347188803,0.9460000000000001
5,500,2,0.5,0.3969587745391761,0.0016098021074065143,0.6464666666666667,0.002456736769691813,0.9540000000000001
5,500,2,0.8,0.39829877940127983,0.0005921327659121619,0.6518666666666668,0.0023342855200015767,0.9786666666666667
5,500,2,1.0,0.4000000000000001,0.0,0.6500666666666667,0.0039203174474637965,0.9466666666666667
5,500,3,0.0,0.49116820171684944,0.0023960721137476545,0.5248666666666666,0.008086751854456556,0.029333333333333333
5,500,3,0.2,0.4610026445041228,0.0038471368841201795,0.5847333333333333,0.0254308648867648,0.0
5,500,3,0.5,0.43152938867104457,0.0037758695984583335,0.6300666666666667,0.015523172642501023,0.072
5,500,3,0.8,0.37255469899955745,0.014063328593913498,0.5958666666666667,0.019134146324191078,0.0
5,500,3,1.0,0.3852666666666667,0.02083607981896366,0.6385333333333333,0.025835032202203477,0.13933333333333334
5,2000,2,0.0,0.3653497059049708,0.05735914472999332,0.3722666666666667,0.04166607999586982,0.3265
5,2000,2,0.2,0.3196192892143965,0.02588466699628011,0.5820666666666666,0.044431320284482066,0.46049999999999996
5,2000,2,0.5,0.3538437866151718,0.012574140460175574,0.6392000000000001,0.017692936443677167,0.44966666666666666
5,2000,2,0.8,0.3584799372954695,0.026040428429060795,0.619,0.028100296558340288,0.43250000000000005
5,2000,2,1.0,0.3572666666666666,0.040741897626672054,0.6051333333333333,0.03947195910460437,0.48333333333333334
5,2000,3,0.0,0.480960567365238,0.002204859283006419,0.505,0.009728309205612273,0.0
5,2000,3,0.2,0.45417245183714444,0.0027400332002746413,0.5950666666666667,0.015187129053540293,0.0
5,2000,3,0.5,0.40938440628161116,0.008607747055686735,0.5925999999999999,0.019760566793490485,0.0
5,2000,3,0.8,0.3830615340306396,0.010411761495460626,0.6131333333333333,0.015129955570177855,0.0
5,2000,3,1.0,0.36146666666666666,0.02562412058111566,0.61,0.028701219486286633,0.0
10,500,2,0.0,0.3894003915357025,0.0,0.40506666666666663,0.004196294661828315,1.0
10,500,2,0.2,0.3646308719370013,0.0017227846580266516,0.5140666666666667,0.007047615830115059,0.9986666666666667
10,500,2,0.5,0.32425019576785125,0.002177154105707724,0.5120666666666667,0.005062498285322055,1.0
10,500,2,0.8,0.2876134116404738,0.0021902409811606818,0.5146333333333334,0.003299831645537225,1.0
10,500,2,1.0,0.25813333333333327,0.004259368758656848,0.5066666666666667,0.004553631029799751,1.0
10,500,3,0.0,0.3967407796921571,0.001620446608248661,0.6204000000000001,0.0022642143596989053,0.9253333333333335
10,500,3,0.2,0.42147874543851205,0.0032729917371521152,0.6993666666666667,0.009473589018365132,0.754
10,500,3,0.5,0.4336602185646841,0.00046902259546868384,0.7121000000000001,0.0033416562759605787,0.8173333333333334
10,500,3,0.8,0.4440881293822118,0.0038897906356284845,0.7003333333333334,0.008450772482770695,0.8053333333333335
10,500,3,1.0,0.4606666666666667,0.0014884742374510524,0.7102666666666666,0.0012684198393626814,0.7993333333333333
10,500,8,0.0,0.4985856015475125,0.0005123108130031133,0.6232333333333333,0.006861648651907356,0.0
10,500,8,0.2,0.48380143177906093,0.0021567573311339324,0.6757666666666667,0.009258269576738178,0.0
10,500,8,0.5,0.4604419685782015,0.007214288595450732,0.6717000000000001,0.018365910450251755,0.0
10,500,8,0.8,0.43402679157366686,0.013533175242014693,0.6691333333333335,0.014702909764925966,0.0
10,500,8,1.0,0.40930000000000005,0.01674056948453867,0.6565666666666666,0.019319132715753334,0.0
10,2000,2,0.0,0.05199362768556386,0.0038270465240104012,0.5302666666666668,0.005713920623257671,1.0
10,2000,2,0.2,0.04496831872882448,0.001830556522299581,0.5271666666666667,0.0057875344971374575,1.0
10,2000,2,0.5,0.029655095146715233,0.004061401121359615,0.5302333333333333,0.013616248463590162,1.0
10,2000,2,0.8,0.019236868344945177,0.0019570864575527537,0.5196666666666666,0.004722522866246608,1.0
10,2000,2,1.0,0.009800000000000001,0.0006480740698407858,0.5637666666666666,0.004403281604541034,1.0
10,2000,3,0.0,0.28604890760620116,0.006000963260501098,0.3673,0.003040833219146795,0.5576666666666666
10,2000,3,0.2,0.25074143133626253,0.002866326737172995,0.5164666666666666,0.00821921867062526,0.7058333333333334
10,2000,3,0.5,0.26677819963852245,0.011806929348964825,0.5361666666666666,0.014331627805506028,0.6845
10,2000,3,0.8,0.25046446770799613,0.014646149969538178,0.5043333333333334,0.02058499993252904,0.7401666666666666
10,2000,3,1.0,0.2855999999999999,0.01714642819948224,0.5370333333333331,0.01897372452161727,0.6686666666666667
10,2000,8,0.0,0.49734135708784094,0.0009589978145269072,0.6211,0.0047581509013480796,0.0
10,2000,8,0.2,0.48018244943314947,0.0012286301858132832,0.6646666666666667,0.012893495345414417,0.0
10,2000,8,0.5,0.45413472716898773,0.0012510405915874202,0.6611000000000001,0.001388044187577072,0.0
10,2000,8,0.8,0.4349721400887092,0.012715286776404947,0.6702666666666669,0.015674253482135036,0.0
10,2000,8,1.0,0.4131333333333334,0.01433651127560525,0.666,0.013338665600426495,0.0
20,500,2,0.0,0.026479226624427768,0.005047205930802766,0.6042,0.004953786430600268,1.0
20,500,2,0.2,0.02281308859266601,0.0021251796849635993,0.6041333333333333,0.0017983016679325122,1.0
20,500,2,0.5,0.01840454886424953,0.0011594652627468134,0.6009833333333333,0.0022107062722628587,1.0
20,500,2,0.8,0.009911205742523637,0.0011867137691879373,0.6024666666666668,0.001898391131692514,1.0
20,500,2,1.0,0.005066666666666666,0.0004109609335312651,0.6021333333333333,0.0013816254517375,1.0
20,500,3,0.0,0.3894003915357025,0.0,0.4571,0.0022553639765383123,1.0
20,500,3,0.2,0.3688103132285619,0.0005233227175143964,0.5365333333333332,0.0023453263217632836,1.0
