String Length (l),Initial Detectors (N),Matching Threshold (r),Repetition,Generation,Mean Pathogen Fitness,Mean Protein Score,Unique Detectors,Detector Shannon,Detector Hamming,Unique Pathogens,Pathogen Shannon,Pathogen Hamming,Active Detectors,Average Detector Coverage
5,500,2,1,0,0.0,0.495,13,2.5442781792072076,2.029250501002004,32,3.450143731172746,2.4987127127127127,500,0.5956279999999999
5,500,2,1,1,0.0,0.49620000000000003,13,2.5442781792072076,2.029250501002004,32,3.4508333299214993,2.50191991991992,500,0.592282
5,500,2,1,2,0.0,0.5007999999999999,13,2.5442781792072076,2.029250501002004,32,3.4519799983770167,2.5015775775775775,500,0.593452
5,500,2,1,3,0.0,0.49579999999999996,13,2.5442781792072076,2.029250501002004,32,3.451773092034403,2.5015915915915916,500,0.585412
5,500,2,1,4,0.0,0.49539999999999995,13,2.5442781792072076,2.029250501002004,32,3.452792235822099,2.5014314314314317,500,0.59223
5,500,2,1,5,0.0,0.5014,13,2.5442781792072076,2.029250501002004,32,3.4515106857449602,2.4995415415415416,500,0.60076
5,500,2,1,6,0.0,0.4932,13,2.5442781792072076,2.029250501002004,32,3.4545275594393736,2.501777777777778,500,0.5871899999999999
5,500,2,1,7,0.0,0.4962,13,2.5442781792072076,2.029250501002004,32,3.4473682003987967,2.501215215215215,500,0.5903899999999999
5,500,2,1,8,0.0,0.501,13,2.5442781792072076,2.029250501002004,32,3.45545659382248,2.5017037037037038,500,0.5981199999999999
5,500,2,1,9,0.0,0.49939999999999996,13,2.5442781792072076,2.029250501002004,32,3.452223824800755,2.5004744744744745,500,0.5958199999999999
5,500,2,1,10,0.0,0.5026,13,2.5442781792072076,2.029250501002004,32,3.4478649724737416,2.5007827827827827,500,0.5992439999999999
5,500,2,1,11,0.0,0.5084000000000001,13,2.5442781792072076,2.029250501002004,32,3.4530335604274103,2.5015935935935936,500,0.59988
5,500,2,1,12,0.0,0.49360000000000004,13,2.5442781792072076,2.029250501002004,32,3.4497281888209974,2.5009569569569567,500,0.5898839999999999
5,500,2,1,13,0.0,0.501,13,2.5442781792072076,2.029250501002004,32,3.4527167368018308,2.501315315315315,500,0.5955459999999999
5,500,2,1,14,0.0,0.4882,13,2.5442781792072076,2.029250501002004,32,3.451334995117553,2.498284284284284,500,0.5919079999999999
5,500,2,1,15,0.0,0.49260000000000004,13,2.5442781792072076,2.029250501002004,32,3.4495813651567895,2.500834834834835,500,0.5902399999999998
5,500,2,1,16,0.0,0.5034,13,2.5442781792072076,2.029250501002004,32,3.4540303232572964,2.4997337337337338,500,0.6048920000000001
5,500,2,1,17,0.0,0.502,13,2.5442781792072076,2.029250501002004,32,3.4471196027883266,2.500912912912913,500,0.59949
5,500,2,1,18,0.0,0.503,13,2.5442781792072076,2.029250501002004,32,3.4572854763686585,2.5023803803803806,500,0.594972
5,500,2,1,19,0.0,0.4952,13,2.5442781792072076,2.029250501002004,32,3.4542736710125292,2.500768768768769,500,0.594086
5,500,2,1,20,0.0,0.49660000000000004,13,2.5442781792072076,2.029250501002004,32,3.4506152715286245,2.499925925925926,500,0.588336
5,500,2,1,21,0.0,0.507,13,2.5442781792072076,2.029250501002004,32,3.452223131273868,2.501183183183183,500,0.6006859999999999
5,500,2,1,22,0.0,0.49319999999999997,13,2.5442781792072076,2.029250501002004,32,3.453864913240661,2.5012692692692693,500,0.58746
5,500,2,1,23,0.0,0.5,13,2.5442781792072076,2.029250501002004,32,3.4490458873595875,2.500312312312312,500,0.5946
5,500,2,1,24,0.0,0.5054,13,2.5442781792072076,2.029250501002004,32,3.450813977503047,2.4974354354354356,500,0.6064200000000001
5,500,2,1,25,0.0,0.49660000000000004,13,2.5442781792072076,2.029250501002004,32,3.4533492035185116,2.500174174174174,500,0.5960740000000001
5,500,2,1,26,0.0,0.493,13,2.5442781792072076,2.029250501002004,32,3.4546261324195537,2.5004704704704706,500,0.592598
5,500,2,1,27,0.0,0.5067999999999999,13,2.5442781792072076,2.029250501002004,32,3.4488492709034357,2.4984944944944947,500,0.5973379999999999
5,500,2,1,28,0.0,0.5066,13,2.5442781792072076,2.029250501002004,32,3.456330818965189,2.5015435435435434,500,0.601904
5,500,2,1,29,0.0,0.49260000000000004,13,2.5442781792072076,2.029250501002004,32,3.4448098196784103,2.500142142142142,500,0.5887239999999999
5,500,2,1,30,0.0,0.5022,13,2.5442781792072076,2.029250501002004,32,3.4505016758684404,2.50017017017017,500,0.590318
5,500,2,1,31,0.0,0.4894,13,2.5442781792072076,2.029250501002004,32,3.455579051863859,2.5006906906906905,500,0.591308
5,500,2,1,32,0.0,0.4942,13,2.5442781792072076,2.029250501002004,32,3.4470049036038466,2.4994574574574573,500,0.593558
5,500,2,1,33,0.0,0.5042000000000001,13,2.5442781792072076,2.029250501002004,32,3.44982681939295,2.4993973973973973,500,0.60519
5,500,2,1,34,0.0,0.49679999999999996,13,2.5442781792072076,2.029250501002004,32,3.449545993061794,2.501213213213213,500,0.5950919999999998
5,500,2,1,35,0.0,0.49860000000000004,13,2.5442781792072076,2.029250501002004,32,3.448307912635074,2.501175175175175,500,0.5983740000000001
5,500,2,1,36,0.0,0.5054,13,2.5442781792072076,2.029250501002004,32,3.455391831184911,2.501815815815816,500,0.592652
5,500,2,1,37,0.0,0.5074,13,2.5442781792072076,2.029250501002004,32,3.4507773691192423,2.5014634634634634,500,0.5965840000000001
5,500,2,1,38,0.0,0.5052000000000001,13,2.5442781792072076,2.029250501002004,32,3.4510852613454546,2.5014054054054053,500,0.601564
5,500,2,1,39,0.0,0.4992,13,2.5442781792072076,2.029250501002004,32,3.4483040670552074,2.5023303303303304,500,0.5868760000000001
5,500,2,1,40,0.0,0.4904,13,2.5442781792072076,2.029250501002004,32,3.4483149698766136,2.500196196196196,500,0.594164
5,500,2,1,41,0.0,0.4976,13,2.5442781792072076,2.029250501002004,32,3.4561630019240592,2.5015855855855857,500,0.59813
